Threshold,Precision,Recall,F1
0.1,0.6521739130434783,1.0,0.7894736842105263
0.15,0.671875,0.9555555555555556,0.7889908256880733
0.2,0.6666666666666666,0.9333333333333333,0.7777777777777778
0.25,0.711864406779661,0.9333333333333333,0.8076923076923076
0.3,0.7636363636363637,0.9333333333333333,0.84
0.35,0.7636363636363637,0.9333333333333333,0.84
0.4,0.7755102040816326,0.8444444444444444,0.8085106382978723
0.45,0.8205128205128205,0.7111111111111111,0.7619047619047619
0.5,0.9393939393939394,0.6888888888888889,0.7948717948717948
0.55,0.96875,0.6888888888888889,0.8051948051948051
0.6,0.9629629629629629,0.5777777777777777,0.7222222222222221
0.65,0.9629629629629629,0.5777777777777777,0.7222222222222221
0.7,1.0,0.4222222222222222,0.59375
0.75,1.0,0.4222222222222222,0.59375
0.8,1.0,0.35555555555555557,0.5245901639344263
0.85,1.0,0.35555555555555557,0.5245901639344263
0.9,1.0,0.3111111111111111,0.4745762711864407
